Addresses,amount_DBI,tx_list_DBI,amount_LI,tx_list_LI,amount_SI,tx_list_SI,deposited_DBI,deposited_LI,deposited_SI
0xb47be7126009a70f4f304d4fb8e342bbc2fa10ce,0.0,,0.0,,0.0,,0.0,0.0,3320.6302410266003
0xd1148f53a80d81767ea6f3af892d142d9629fda4,0.0,,0.0,,0.0,,1.9646,0.0,272.9989614573
0x07bd0ac05c35dc7774c2219e76d11cb1a8d567b9,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xce6fcd36bbec25d12f37ce98834cf3367e09773b,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x36da519a5bec67beb6477acc5386e74a04022b36,0.0,,0.0,,0.0,,2.4327200643,0.3666913757,0.0
0x2c39eee3d98941bd5f21f261ede26b45c69f3e98,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x151c4ac2b710b05389077c8d2c1e3019dae4a93b,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x2df4511b20b3ccc6a37729ebdc2f3b78faa84fc5,0.0,,0.0,,0.0,,0.0,0.2261736411,0.0
0xb3957b3af46adf79082a34fa62526cfe64f4b0ea,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x1e285d09df88d9589aeb821c2625a537a4a97a3c,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x0f535e6e28832209e80958ce6c2c824355a655a5,0.0,,0.0,,0.0,,44.384198187600006,0.0,1858.0
0x505186995ba5441d21bd7cb84b5ad8df0749a1ca,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xb275d7d4ae6c77f532ff0de2b58eacccb7ce5031,0.0,,0.0,,0.0,,0.0,0.0,0.1421019851
0x1b73c00cdb5bbe47b1372549c2a3bc0c9e7d1d9d,0.0,,0.0,,0.0,,0.0,0.0,221.302488033
0x707d7ef17477ea6d67b5c6cb6fb4c23f0f5a1a81,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xccc936137fd2fcb1cf41f4acd24b693ded4ae356,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x0d9004c10b756088147d6a3fc399bd443f1339de,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xa5206638c4a3709a43d01b637dae5a5a382a9417,0.0,,0.0,,0.0,,0.0,0.0,0.1427631968
0xef482710f1bffb414cc7242ef4c3653c059bd1de,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x22eac4a5381adaf34b748f10a4b57d25d8981963,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xd52aa35f4f307fceb2c9631b6dd30b64b0475b2e,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x6e781c4a3e582c9920ef1469b796021d8dbcdd4d,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x962696d19e7ba8965bacd62bbea32f2ebc8063fc,0.0,,0.0,,0.0,,0.0,0.0,0.0
